Feature	Gain	Cover	Frequency
Master_fultimo_cierre	7.72081965791137e-06	0.00359825258711925	0.00510204081632653
mtarjeta_master_consumo	6.41817556219027e-06	0.00114805414516444	0.00272108843537415
ccajas_consultas	6.23674348469923e-06	0.00177068593356298	0.00170068027210884
Master_Finiciomora	6.16521593347748e-06	0.00386980821014332	0.00204081632653061
matm_other	6.0572906482495e-06	0.00660195312231634	0.00238095238095238
mcaja_ahorro_adicional	6.00225093934157e-06	0.00210505117174405	0.00374149659863946
mdescubierto_preacordado	5.81020460876793e-06	0.00130084849702263	0.00272108843537415
ccaja_ahorro	5.18423785508168e-06	0.00182947367962955	0.00272108843537415
tpaquete7	4.57786557887196e-06	0.00631157172908172	0.00408163265306122
minversion1_pesos	4.55964247811184e-06	0.000662752683094001	0.000680272108843537
catm_trx_other	4.47615655592754e-06	0.000977216392766787	0.00102040816326531
mcomisiones_mantenimiento	4.46671596743359e-06	0.00396029415241505	0.00306122448979592
ccallcenter_trx	4.44538163868939e-06	0.0018801687894108	0.00272108843537415
thomebanking	4.37436689363863e-06	0.000173099289728139	0.00102040816326531
Visa_delinquency	4.09379697826066e-06	0.000279122604686624	0.00102040816326531
ccajeros_propios_descuentos	4.04354555060456e-06	0.000471035440099199	0.000680272108843537
cforex	3.55890141206495e-06	0.000969649411104236	0.000680272108843537
cforex_buy	3.50458036929754e-06	0.00254316596302702	0.00136054421768707
tpaquete9	3.31381979685918e-06	0.000241801126470522	0.00204081632653061
ctarjeta_master_debitos_automaticos	3.17313053840414e-06	0.00186351898484797	0.00306122448979592
cmobile_app_trx	3.13569734398701e-06	3.54511257211584e-06	0.000680272108843537
cpagodeservicios	2.8958435187495e-06	0.00114729622454557	0.00102040816326531
ctarjeta_master	2.72016275766106e-06	0.000403458259759004	0.000680272108843537
Master_mlimitecompra	2.16606494755834e-06	0.00196923668665369	0.00238095238095238
mprestamos_hipotecarios	2.15218021924289e-06	0.0155464677341824	0.00374149659863946
mtarjeta_master_descuentos	2.01835377308403e-06	0.000266421322057561	0.000680272108843537
mprestamos_prendarios	1.98502592062908e-06	0.000554528953435582	0.000680272108843537
mpagodeservicios	1.84669526363649e-06	4.86047158163193e-05	0.000680272108843537
tcuentas	1.80606113769284e-06	0.00181336175421559	0.00170068027210884
cseguro_vida	1.69761627850659e-06	0.000143271446017923	0.00102040816326531
ctarjeta_visa	1.67419918255279e-06	7.30659925639186e-05	0.00102040816326531
cliente_vip	1.34490557088965e-06	0.00275669176060339	0.00136054421768707
mcheques_emitidos	1.30880541527495e-06	0.00720302084665552	0.00204081632653061
mforex_buy	1.10074290637375e-06	0.00205429493933224	0.00102040816326531
tmobile_app	7.49292376201897e-07	6.24428793736818e-05	0.000680272108843537
Master_mconsumosdolares	6.7587098171125e-07	0.00134357321577968	0.000680272108843537
Visa_Finiciomora	5.83102790885133e-07	0.000631323426463278	0.000340136054421769
ccajas_otras	5.42068382894129e-07	0.000284782560275899	0.000680272108843537
cprestamos_prendarios	5.30936774980902e-07	0.000418457753296887	0.000340136054421769
cforex_sell	4.8962615736223e-07	5.73330274593907e-06	0.000340136054421769
internet	4.20570769527551e-07	0.000941679695362853	0.000680272108843537
mforex_sell	4.01847051237771e-07	0.000318228863714895	0.000680272108843537
cseguro_accidentes_personales	3.75290375460257e-07	0.000360171212800859	0.000680272108843537
cplazo_fijo	3.35948797520029e-07	0.00298712407779092	0.000680272108843537
Master_status	3.0371972237639e-07	9.80529239342799e-05	0.000340136054421769
cseguro_vivienda	2.92806648853204e-07	7.43128942272145e-05	0.000340136054421769
cinversion1	2.91609468135889e-07	0.000196643727017433	0.000340136054421769
Visa_status	1.46240367591348e-07	5.20764812317706e-05	0.000340136054421769
